"X","id","instrument_id","date_of_test","data_id","age","gender","mom_ed","birth_order","productive","ageC","birth_orderC","mom_edC","genderContrast","birth_orderSplit","genderContrastC"
110,5690,4,"1989-05-11",5690,17,"F",12,1,219,-5.91674127126231,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
111,5691,4,"1989-05-08",5691,24,"M",13,2,94,1.08325872873769,0.411817367949866,-1.98119964189794,0.5,"Late",0.504923903312444
112,5692,4,"1989-05-01",5692,19,"F",15,2,219,-3.91674127126231,0.411817367949866,0.0188003581020588,-0.5,"Late",-0.495076096687556
113,5693,4,"1989-04-28",5693,21,"F",18,1,409,-1.91674127126231,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
114,5694,4,"1989-05-06",5694,18,"M",17,2,118,-4.91674127126231,0.411817367949866,2.01880035810206,0.5,"Late",0.504923903312444
115,5695,4,"1989-05-04",5695,24,"F",12,1,238,1.08325872873769,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
116,5696,4,"1989-04-29",5696,25,"F",16,1,528,2.08325872873769,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
117,5697,4,"1989-05-01",5697,16,"F",16,2,17,-6.91674127126231,0.411817367949866,1.01880035810206,-0.5,"Late",-0.495076096687556
118,5698,4,"1989-05-02",5698,29,"M",12,1,459,6.08325872873769,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
119,5699,4,"1989-05-07",5699,24,"F",15,2,574,1.08325872873769,0.411817367949866,0.0188003581020588,-0.5,"Late",-0.495076096687556
120,5700,4,"1989-05-01",5700,29,"M",16,1,536,6.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
121,5701,4,"1989-05-02",5701,16,"F",12,1,103,-6.91674127126231,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
122,5702,4,"1989-05-01",5702,18,"F",12,2,42,-4.91674127126231,0.411817367949866,-2.98119964189794,-0.5,"Late",-0.495076096687556
123,5703,4,"1989-04-26",5703,26,"F",16,1,577,3.08325872873769,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
124,5704,4,"1989-05-02",5704,19,"F",16,1,237,-3.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
125,5705,4,"1989-05-03",5705,29,"M",16,2,444,6.08325872873769,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
126,5706,4,"1989-05-03",5706,26,"M",18,1,298,3.08325872873769,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
127,5707,4,"1989-05-01",5707,18,"M",17,1,11,-4.91674127126231,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
128,5708,4,"1989-04-27",5708,20,"F",14,1,422,-2.91674127126231,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
129,5709,4,"1989-05-01",5709,18,"M",18,2,147,-4.91674127126231,0.411817367949866,3.01880035810206,0.5,"Late",0.504923903312444
130,5710,4,"1989-04-29",5710,20,"M",18,1,311,-2.91674127126231,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
131,5711,4,"1989-05-09",5711,27,"F",18,1,667,4.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
